cluster_id,jdfn_member_count,wjq_members_dropped,deduped_duty_count,distinct_normalized_titles,modal_group_fraction,core_skill_count,security_qual_count,members_with_context,summary_in_range_available,chosen_summary_words,education_bar_spread,experience_bar_spread,flags
000cebb7-beef-55f2-98e4-4fe8d700a9e9,3,0,1,1,1.0000,23,0,0,True,143,0,0,sections_not_merged
001da53c-6fb3-5916-9baa-384cb4b0131f,3,0,11,1,1.0000,0,0,0,True,117,,,no_core_skills|sections_not_merged
0058a3e0-e0d3-535e-9d58-79cb1db8ff60,2,0,7,1,1.0000,0,0,0,True,130,,,no_core_skills|sections_not_merged
00b6c63e-9a7c-5b91-b4c5-3b1bdded3a8d,2,0,9,1,1.0000,0,0,0,False,87,,,no_core_skills|sections_not_merged
01182e7e-3cd3-5116-9755-ac02b18e4e86,2,0,6,1,1.0000,20,0,0,False,91,,,sections_not_merged
0121bf86-7a7f-5c88-809c-06eecb1e514e,3,0,1,1,1.0000,30,0,0,False,35,,0,sections_not_merged
01675ddc-4564-543b-8f82-f640a3042365,2,0,12,1,1.0000,0,0,0,True,117,,,no_core_skills|sections_not_merged
017608da-f6a4-5f00-afe8-d3c2c1457cdc,4,0,7,2,0.5000,18,0,0,False,64,0,0,sections_not_merged
0190d70b-8174-581b-afb5-04a5fd8e7894,2,0,3,1,1.0000,24,0,0,False,81,,,
01bb2702-8fcb-5e0f-9df9-ce6ec97d2fe5,2,0,12,1,1.0000,0,0,0,False,91,,,no_core_skills|sections_not_merged
01c17f61-0e0d-5b0b-b203-cd6ca417527c,3,0,3,2,0.6667,24,0,0,True,119,0,0,sections_not_merged
01cd7eb4-7cbd-5003-a1bb-031395f034bd,2,0,5,1,1.0000,29,0,0,True,101,,,sections_not_merged
01d23caf-8c4d-5851-9b80-adde5f11d3ca,2,0,5,1,1.0000,30,0,0,False,51,0,0,sections_not_merged
02182bbf-c7b0-54b1-b7a2-3e791bc4e498,2,0,7,1,1.0000,0,0,0,True,108,,,no_core_skills|sections_not_merged
022636e7-d515-59a6-9565-3e214a4750d5,2,0,4,1,1.0000,20,0,0,False,205,0,0,sections_not_merged
025d6b97-4a9c-5bca-8500-a59d73a2ff20,2,0,6,1,1.0000,20,0,0,False,185,0,0,sections_not_merged
02b81449-caa1-58e3-817a-cd11d0e4e727,2,0,5,1,1.0000,31,0,0,True,121,0,0,sections_not_merged
02cd0b91-2142-5d4a-b25e-375a1c3c3a2b,6,0,1,1,1.0000,0,0,0,False,215,,,no_core_skills|sections_not_merged
02d8e434-de8d-578e-9586-050274b792df,3,0,6,1,1.0000,27,0,0,False,96,0,0,sections_not_merged
02ffaab3-a45e-56c8-9d9e-9161c7f68e32,2,0,1,1,1.0000,0,0,0,False,167,,,no_core_skills|sections_not_merged
0332dca3-6a59-5990-b764-02ded64bfac8,3,0,1,1,1.0000,24,0,0,True,112,0,0,sections_not_merged
03572d6f-626c-5d3d-b1de-6942838a45b5,2,0,4,1,1.0000,26,0,0,False,58,0,0,sections_not_merged
0360a265-4122-53b2-a574-a41dff0cd651,2,0,1,2,0.5000,19,0,0,True,111,0,0,sections_not_merged
03b65553-bb07-5167-bd55-ea5e41be3e51,2,0,4,1,1.0000,0,0,0,True,122,,,no_core_skills|sections_not_merged
03e6781a-ab74-5c43-a3ea-83d07f2c4449,4,0,1,1,1.0000,0,0,0,False,158,,,no_core_skills|sections_not_merged
043bafc2-e97e-5f87-b772-857691de82b3,2,0,12,1,1.0000,0,0,0,True,126,,,no_core_skills|sections_not_merged
043f4981-09ae-5735-9a56-86bbe556a23a,2,0,4,1,1.0000,22,0,0,False,97,0,0,sections_not_merged
04963941-49b3-5ab4-b548-470ba259f663,7,0,1,2,0.7143,20,0,0,False,53,0,0,sections_not_merged
04e3e6f9-f8f3-58fc-b652-1760f197a621,2,0,12,2,0.5000,0,0,0,False,160,,,no_core_skills|sections_not_merged
